   BENCHMARK INFORMATION
benchmark definition:    /input/student-svcomp-extract-features.xml
name:                    student-svcomp-extract-features
run sets:                sv-comp19_prop-reachsafety, sv-comp19_prop-memsafety, sv-comp19_prop-nooverflow, sv-comp19_prop-termination
date:                    Thu, 2019-07-18 13:39:07 UTC
tool:                    ULTIMATE Automizer 0.1.24-3a3fd35b
tool executable:         ./Ultimate.py
options:                 --full-output
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             2
hardware requirements:
- cpu cores:             2
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    82a6a2e96af6
os:                      Linux-4.15.0-54-generic-x86_64-with-debian-9.9
cpu:                     Intel Core i7-3770 CPU @ 3.40GHz
- cores:                 8
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     33637.937152000006 MB
------------------------------------------------------------



sv-comp19_prop-reachsafety
Run set 1 of 4 with options '--full-output' and propertyfile 'None'

inputfile                                                                                                                                                                          status                    cpu time   wall time        host
reducercommutativity/rangesum05.yml                                                                                                                                                ERROR (7)                    16.03       10.09        None
reducercommutativity/rangesum10.yml                                                                                                                                                ERROR (7)                    15.66       10.04        None
reducercommutativity/rangesum20.yml                                                                                                                                                ERROR (7)                    15.52        9.55        None
reducercommutativity/rangesum40.yml                                                                                                                                                ERROR (7)                    16.00       10.10        None
reducercommutativity/rangesum60.yml                                                                                                                                                ERROR (7)                    15.31        9.75        None
reducercommutativity/sep.yml                                                                                                                                                       ERROR (7)                    17.07       10.66        None
reducercommutativity/sep05-1.yml                                                                                                                                                   ERROR (7)                    16.41       10.13        None
reducercommutativity/sep10-2.yml                                                                                                                                                   ERROR (7)                    16.60       10.35        None
reducercommutativity/sep20-1.yml                                                                                                                                                   ERROR (7)                    16.56       10.32        None
reducercommutativity/sep40-1.yml                                                                                                                                                   ERROR (7)                    17.14       10.65        None
reducercommutativity/sep60-2.yml                                                                                                                                                   ERROR (7)                    16.69       10.32        None
reducercommutativity/sum.yml                                                                                                                                                       ERROR (7)                    16.62       10.39        None
reducercommutativity/sum05-2.yml                                                                                                                                                   ERROR (7)                    16.39       10.12        None
reducercommutativity/sum10-1.yml                                                                                                                                                   ERROR (7)                    15.77        9.76        None
reducercommutativity/sum20-2.yml                                                                                                                                                   ERROR (7)                    16.24       10.19        None
reducercommutativity/sum40-2.yml                                                                                                                                                   ERROR (7)                    15.93        9.69        None
reducercommutativity/sum60-2.yml                                                                                                                                                   ERROR (7)                    15.57        9.82        None
array-tiling/mbpr2.yml                                                                                                                                                             ERROR (7)                    20.20       12.64        None
array-tiling/mbpr3.yml                                                                                                                                                             ERROR (7)                    21.57       13.07        None
array-tiling/mbpr4.yml                                                                                                                                                             ERROR (7)                    18.85       10.82        None
array-tiling/mbpr5.yml                                                                                                                                                             ERROR (7)                    18.72       11.73        None
array-tiling/mlceu.yml                                                                                                                                                             ERROR (7)                    14.66        9.41        None
array-tiling/nr2.yml                                                                                                                                                               ERROR (7)                    16.58       10.42        None
array-tiling/nr3.yml                                                                                                                                                               ERROR (7)                    16.13       10.16        None
array-tiling/nr4.yml                                                                                                                                                               ERROR (7)                    16.69       10.41        None
array-tiling/nr5.yml                                                                                                                                                               ERROR (7)                    16.78       10.45        None
array-tiling/pnr2.yml                                                                                                                                                              ERROR (7)                    17.93       11.10        None
array-tiling/pnr3.yml                                                                                                                                                              ERROR (7)                    17.04       10.59        None
array-tiling/pnr4.yml                                                                                                                                                              ERROR (7)                    19.16       11.86        None
array-tiling/pnr5.yml                                                                                                                                                              ERROR (7)                    17.59       11.02        None
array-tiling/poly1.yml                                                                                                                                                             ERROR (7)                    13.79        9.09        None
array-tiling/poly2.yml                                                                                                                                                             ERROR (7)                    14.43        9.35        None
array-tiling/pr2.yml                                                                                                                                                               ERROR (7)                    17.76       11.06        None
array-tiling/pr3.yml                                                                                                                                                               ERROR (7)                    17.61       11.03        None
array-tiling/pr4.yml                                                                                                                                                               ERROR (7)                    17.73       10.94        None
