   BENCHMARK INFORMATION
benchmark definition:    /input/student-heuristics-extract-features.xml
name:                    student-heuristics-extract-features
run sets:                AutomizerBplInline with feature extraction.Pdr
date:                    Thu, 2019-07-18 10:50:22 UTC
tool:                    ULTIMATE Automizer 0.1.24-3a3fd35b
tool executable:         ./Ultimate.py
options:                 
resource limits:
- memory:                8000.0 MB
- time:                  300 s
- cpu cores:             2
hardware requirements:
- cpu cores:             2
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    06b07f0a6637
os:                      Linux-4.15.0-54-generic-x86_64-with-debian-9.9
cpu:                     Intel Core i7-3770 CPU @ 3.40GHz
- cores:                 8
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     33637.937152000006 MB
------------------------------------------------------------



AutomizerBplInline with feature extraction.Pdr
Run set 1 of 1 with options '-tc /ultimate/trunk/examples/toolchains/AutomizerBplInline.xml --traceabstraction.use.heuristic.emptiness.check false --traceabstraction.extract.smt.features.during.analysis true --traceabstraction.smt.feature.extraction.dump.path /output/smt/ --traceabstraction.trace.refinement.strategy CAMEL_NO_AM' and propertyfile 'None'

inputfile                                                                                                              status                    cpu time   wall time        host
20170304-DifficultPathPrograms/array.i_3.bpl                                                                           ERROR: EXCEPTION              6.14        3.81        None
20170304-DifficultPathPrograms/array1.i_3.bpl                                                                          ERROR: EXCEPTION              5.89        3.52        None
20170304-DifficultPathPrograms/array2.i_3.bpl                                                                          ERROR: EXCEPTION              5.96        3.64        None
20170304-DifficultPathPrograms/array3.i_4.bpl                                                                          ERROR: EXCEPTION              6.44        3.79        None
20170304-DifficultPathPrograms/array4.i_4.bpl                                                                          ERROR: EXCEPTION              5.49        3.46        None
20170304-DifficultPathPrograms/bhmr2007.c.i_3.bpl                                                                      ERROR: EXCEPTION              6.24        3.77        None
20170304-DifficultPathPrograms/cggmp2005.c.i_3.bpl                                                                     ERROR: EXCEPTION              6.15        3.64        None
20170304-DifficultPathPrograms/cggmp2005_variant.c.i_3.bpl                                                             ERROR: EXCEPTION              6.30        3.76        None
20170304-DifficultPathPrograms/cggmp2005b.c.i_4.bpl                                                                    ERROR: EXCEPTION              5.81        3.60        None
20170304-DifficultPathPrograms/const1.i_3.bpl                                                                          ERROR: EXCEPTION              5.92        3.63        None
20170304-DifficultPathPrograms/count_by_1.i_3.bpl                                                                      ERROR: EXCEPTION              5.23        3.27        None
20170304-DifficultPathPrograms/count_by_1_variant.i_2.bpl                                                              ERROR: EXCEPTION              5.96        3.70        None
20170304-DifficultPathPrograms/count_by_2.i_3.bpl                                                                      ERROR: EXCEPTION              5.67        3.47        None
20170304-DifficultPathPrograms/count_by_k.i_3.bpl                                                                      ERROR: EXCEPTION              5.65        3.46        None
20170304-DifficultPathPrograms/count_by_nondet.i_3.bpl                                                                 ERROR: EXCEPTION              5.63        3.48        None
20170304-DifficultPathPrograms/count_up_down.i_3.bpl                                                                   ERROR: EXCEPTION              7.15        4.30        None
20170304-DifficultPathPrograms/ddlm2013.i_3.bpl                                                                        ERROR: EXCEPTION              7.07        4.23        None
20170304-DifficultPathPrograms/diamond1.i_3.bpl                                                                        ERROR: EXCEPTION              6.33        3.83        None
20170304-DifficultPathPrograms/diamond2.i_4.bpl                                                                        ERROR: EXCEPTION              6.74        4.01        None
20170304-DifficultPathPrograms/down.i_4.bpl                                                                            ERROR: EXCEPTION              6.07        3.71        None
20170304-DifficultPathPrograms/eureka_01.i_3.bpl                                                                       ERROR: EXCEPTION              6.55        3.92        None
20170304-DifficultPathPrograms/eureka_01.i_6.bpl                                                                       ERROR: EXCEPTION              7.03        4.21        None
20170304-DifficultPathPrograms/eureka_05.i_5.bpl                                                                       ERROR: EXCEPTION              5.71        3.52        None
20170304-DifficultPathPrograms/fragtest_simple.i_4.bpl                                                                 ERROR: EXCEPTION              6.66        3.99        None
